CAGDP1 County gross domestic product (GDP) summary
CAGDP1 County gross domestic product (GDP) summary
County
GeoFIPS,GeoName,2022,2023,2024
12029,"Dixie, FL",284477,309992,316390
12031,"Duval, FL",77538844,80929277,83517200
12033,"Escambia, FL",17684412,18118766,18897020
12035,"Flagler, FL",3693575,3804970,3990529
12037,"Franklin, FL",390445,381890,389751
12039,"Gadsden, FL",1238886,1317483,1275717
12041,"Gilchrist, FL",394688,423098,443407
12043,"Glades, FL",329681,324538,352968
12045,"Gulf, FL",476244,490686,506457
12047,"Hamilton, FL",556112,551920,641948
12049,"Hardee, FL",1231577,1179808,1160182
12051,"Hendry, FL",1380018,1403518,1455171
12053,"Hernando, FL",5088877,5362661,5659680
12055,"Highlands, FL",2704876,2865459,2980473
12057,"Hillsborough, FL",111012380,116841238,121004917
12059,"Holmes, FL",411708,426288,437047
12061,"Indian River, FL",7452882,7802566,8020666
12063,"Jackson, FL",1369069,1457629,1529487
12065,"Jefferson, FL",274490,308359,340534
12067,"Lafayette, FL",172511,204506,241798
12069,"Lake, FL",11988782,12990585,13812535
12071,"Lee, FL",38894720,40549679,41934562
12073,"Leon, FL",17144729,17947257,18790318
12075,"Levy, FL",985417,1145170,1272209
12077,"Liberty, FL",263289,292869,369651
12079,"Madison, FL",477827,529644,592906
12081,"Manatee, FL",18164121,19571650,20417218
12083,"Marion, FL",12089342,12999067,13570815
12085,"Martin, FL",9116934,9555168,9555927
12086,"Miami-Dade, FL",187545719,196444856,203059107
12087,"Monroe, FL",5879934,6193265,6402345
12089,"Nassau, FL",3518298,3633094,3800560
12091,"Okaloosa, FL",14458107,14801202,15005247
12093,"Okeechobee, FL",1873785,2181486,2175079
12095,"Orange, FL",116081626,122018128,125714369
12097,"Osceola, FL",13744817,14515061,15569050
12099,"Palm Beach, FL",102539990,108402893,110546089
12101,"Pasco, FL",16682891,17822382,18764534
12103,"Pinellas, FL",58605293,61056144,62297828
12105,"Polk, FL",31529236,32621232,33850469
12107,"Putnam, FL",2280284,2690436,2705030
